SSC,IEMG,MYOP,SKW,RMS,MAV,WL,ZC,ACT,COMP,MOB,FR,MNP,TOT,MNF,PKF,SSC,IEMG,MYOP,SKW,RMS,MAV,WL,ZC,ACT,COMP,MOB,FR,MNP,TOT,MNF,PKF
58.0,22084.86332228278,0.2890625,0.15581822380362065,205.1331502798824,172.53799470533423,16134.032184207135,30.0,41858.374619881244,1.7752269532019676,0.8158967728549266,7.324338089616056,330.4673527109462,21149.910573500558,84.09892715875706,101.5625,60.0,23439.471352632092,0.265625,-0.0423812043186901,225.42808708810284,183.12086994243822,22618.02739161847,41.0,50563.363454500635,1.5832299595097568,0.9529846807837752,3.437544136908851,398.98756095054694,25535.203900835004,91.72584379149073,101.5625
58.0,20723.016700444412,0.234375,0.2864178833559446,192.20102669540722,161.89856797222197,16273.500804986905,34.0,36931.95961461182,1.6804204596552512,0.856681114659677,6.8746628680608115,288.6596360849883,18474.21670943925,93.75410441456549,101.5625,53.0,22427.01921052658,0.2890625,-0.25583933865192554,217.1855210035963,175.21108758223892,23109.822193129377,44.0,47149.47695482224,1.4345547733662096,1.0175558327520917,4.104436497591881,368.65931583942773,23594.196213723375,109.48177802161058,101.5625
53.0,19220.321309606188,0.328125,0.15234067749073818,177.48904766374918,150.15876023129834,15885.113168081603,35.0,31496.99912440271,1.6113135733644548,0.8781886410308957,6.6969187547229705,246.12940906882864,15752.282180405033,99.52758660415049,101.5625,59.0,22845.775342414752,0.234375,-0.30441643180586236,221.3926140555663,178.48261986261525,23476.985635556837,46.0,49011.42749414439,1.4293931500076256,1.0203730301430283,4.190231347961845,382.948675849554,24508.715254371455,116.41504023315505,101.5625
55.0,19251.26573876279,0.21875,0.28091811836484776,182.4585298820482,150.4005135840843,15761.827250560571,32.0,33274.8516402497,1.6523763283310793,0.8333753444759153,7.869924506622114,260.20824237522737,16653.32751201455,95.05139366563724,101.5625,63.0,21222.139356777487,0.1796875,0.1545754385562991,217.45177693228675,165.79796372482411,21218.058608290732,42.0,47260.63838887236,1.5157237797332466,0.9730001523072657,3.8741750169338958,369.6083778401126,23654.936181767207,98.5227578623133,101.5625
57.0,19456.360151963738,0.21875,0.38620168420213163,187.44975021330802,152.0028136872167,15759.873680466193,35.0,35128.51140318078,1.685589547318427,0.8211079587859598,8.436682445976574,274.5790931439805,17573.061961214753,93.7525909087536,101.5625,65.0,21627.599925646406,0.1875,0.11302969708388154,221.6598721883946,168.96562441911254,21875.982066826156,44.0,49105.865216454506,1.5801534954928098,0.9619772609193323,4.187802029657097,384.05465157634603,24579.497700886146,95.84800368452959,101.5625
58.0,20201.972360625212,0.21875,0.49871559907036667,193.63714206825702,157.82790906738447,15722.760551461368,38.0,37442.07105108287,1.722715352649968,0.8037162516832373,8.67182090952582,293.3259230553467,18772.85907554219,89.4473419661782,101.5625,62.0,22870.86960557389,0.34375,-0.0714266370968973,225.1888731288291,178.67866879354602,22086.808152751917,42.0,50684.84372480908,1.598475763213289,0.9267646278278185,4.7560514433557115,396.31418297226037,25364.107710224664,97.55065698094484,101.5625
53.0,21561.427995935985,0.2734375,0.41848376525139863,203.26972428438535,168.44865621824988,15708.659794269668,34.0,41287.94714844189,1.7519718292667088,0.7596852673093791,12.79466887801571,323.03600802261985,20674.30451344767,90.37614272918248,101.5625,55.0,23336.19273472883,0.265625,0.009240487346901059,231.36389582344808,182.31400574006898,21144.093198780763,40.0,53482.62560132661,1.6041270255622533,0.8678232765011011,6.778164604366927,418.55922594967035,26787.790460778902,95.74039137864784,101.5625
58.0,22125.49482696214,0.265625,0.22242211939376788,207.3183648975407,172.85542833564173,16704.477754617983,35.0,42937.822760565854,1.7342295002399577,0.826161838707955,8.662990567470606,336.1112708526572,21511.12133457006,92.22276143357072,101.5625,57.0,23111.621873329357,0.2421875,0.09455455380458706,231.13210438265907,180.5595458853856,21434.02552229714,43.0,53310.46509778346,1.6066077673764312,0.8960429492191574,5.048902005312372,418.2272980853064,26766.54707745961,92.49339756042195,101.5625
59.0,43231.873225367584,0.078125,0.12087826856765667,555.1378400788215,337.74900957318425,33025.09904793411,35.0,306892.48849930323,1.3657893906899774,0.7754131298231679,30.42641898135283,2417.6439699879784,154729.21407923062,106.45934633411287,140.625,61.0,37016.57325583648,0.046875,0.8927758806037167,441.80402973254763,289.1919785612225,32372.641049302238,39.0,195188.12119890316,1.6293397429264234,0.8531894964267273,5.807759138012219,1524.9079149865788,97594.10655914104,107.08709184654448,23.4375
61.0,103915.12591673719,0.1640625,-0.4920291204907228,1064.0975696888415,811.8369212245093,92487.17833712212,36.0,1129545.0167487413,1.3921083480860361,0.993314038133431,4.370895767665094,8867.394678884873,567513.2594486319,114.41640738056756,140.625,63.0,76797.06198128159,0.140625,0.6749942280888214,814.7245761775067,599.9770467287624,75191.86842981691,40.0,663714.3500820306,1.3854495934918836,1.013145501363047,4.423232747311439,5186.187096717494,331915.9741899196,117.39647209874494,140.625
